"Geography","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Shawinigan (CA), Quebec","56,991","56,473","56,338","56,333","56,258","56,176","56,128","55,860","55,471","55,145","54,775","54,671","54,610","54,481","54,261","54,293","54,265","54,314","54,458","54,940"
"Drummondville (CA), Quebec","82,058","82,594","83,647","84,569","85,688","86,487","87,308","88,621","89,795","90,964","92,158","93,060","93,889","94,717","95,527","96,594","97,851","98,817","99,738","100,821"
"Granby (CA), Quebec","70,890","71,745","72,652","73,534","74,651","75,560","76,543","77,479","78,667","80,316","81,660","82,450","83,264","83,988","84,545","85,430","86,523","87,570","88,843","90,459"
"Saint-Hyacinthe (CA), Quebec","54,806","54,973","55,200","55,077","55,371","55,377","55,872","56,255","56,545","57,116","57,324","58,066","58,515","59,060","59,396","59,871","60,126","60,293","60,757","61,424"
"Sorel-Tracy (CA), Quebec","41,686","41,440","41,479","41,398","41,331","41,102","41,307","41,432","41,504","41,639","41,784","41,698","41,659","41,776","41,705","41,706","41,629","41,614","41,738","42,112"
"Joliette (CA), Quebec","40,259","40,825","41,598","42,462","43,297","43,639","44,188","44,911","45,867","46,824","47,335","47,849","48,668","49,271","49,489","49,507","50,100","50,741","51,507","52,261"
"Salaberry-de-Valleyfield (CA), Quebec","39,796","39,850","39,994","39,987","39,982","39,888","40,020","40,070","40,156","40,190","40,413","40,341","40,543","40,637","40,818","40,911","41,297","41,651","42,238","42,854"
"Lachute (CA), Quebec","11,877","11,820","11,813","11,867","11,936","11,900","11,955","12,070","12,222","12,423","12,659","12,738","12,768","12,762","12,932","12,881","12,905","13,049","13,270","13,472"
"Val-d'Or (CA), Quebec","32,971","32,626","32,579","32,589","32,535","32,534","32,900","33,157","33,289","33,352","33,585","33,903","34,033","33,987","33,969","34,055","34,095","34,234","34,342","34,513"
"Rouyn-Noranda (CA), Quebec","40,326","40,000","39,768","39,712","39,981","40,273","40,387","40,615","40,870","41,099","41,460","41,669","41,914","42,146","42,223","42,554","42,849","42,963","43,077","43,113"
"Hawkesbury (CA), Ontario/Quebec","12,043","12,185","12,348","12,447","12,534","12,616","12,484","12,414","12,409","12,404","12,374","12,426","12,532","12,436","12,346","12,189","12,399","12,433","12,450","12,431"
"Hawkesbury (CA), Ontario part, Ontario","10,702","10,829","10,986","11,103","11,189","11,201","11,098","11,015","10,931","10,884","10,776","10,826","10,854","10,746","10,640","10,472","10,599","10,622","10,608","10,585"
"Hawkesbury (CA), Quebec part, Quebec","1,341","1,356","1,362","1,344","1,345","1,415","1,386","1,399","1,478","1,520","1,598","1,600","1,678","1,690","1,706","1,717","1,800","1,811","1,842","1,846"
"Cornwall (CA), Ontario","59,876","60,154","60,585","60,725","60,564","60,442","60,340","60,298","60,320","60,385","60,448","60,559","60,379","60,562","60,790","61,165","61,443","61,911","62,054","62,225"
"Arnprior (CA), Ontario","14,570","14,633","14,744","14,832","14,839","14,888","15,062","15,265","15,484","15,695","15,891","16,089","16,181","16,284","16,310","16,357","16,662","16,970","17,292","17,588"
"Carleton Place (CA), Ontario","27,898","28,146","28,316","28,445","28,546","28,580","28,778","28,935","29,198","29,657","29,964","30,363","30,772","31,277","31,762","32,271","33,397","34,661","35,840","36,916"
"Brockville (CA), Ontario","40,585","40,696","40,885","40,915","40,960","40,976","40,747","40,567","40,247","40,170","39,938","39,352","39,323","39,360","39,348","39,503","39,681","40,020","40,550","40,912"
"Pembroke (CA), Ontario","23,073","23,260","23,522","23,764","23,894","24,008","24,241","24,387","24,457","24,560","24,645","24,935","24,799","24,384","24,067","23,813","23,897","23,762","23,565","23,421"
"Petawawa (CA), Ontario","15,121","15,084","15,120","15,173","15,200","15,419","15,700","15,985","16,187","16,414","16,664","16,660","16,997","17,509","17,692","17,853","17,998","18,328","18,796","19,074"
